"","Col","SCseg","Predicted","Probability","CombCol"
"1","DARK","PROD","4th",0.0062934042821896,"PROD|DARK"
"2","DARK","PROD","3rd",0.0318704886658729,"PROD|DARK"
"3","DARK","PROD","2nd",0.183793628261812,"PROD|DARK"
"4","DARK","PROD","1st",0.778042478790126,"PROD|DARK"
"5","DARK","PRODTRAD","4th",0.0030927700064523,"PRODTRAD|DARK"
"6","DARK","PRODTRAD","3rd",0.0159731099372649,"PRODTRAD|DARK"
"7","DARK","PRODTRAD","2nd",0.103543814247479,"PRODTRAD|DARK"
"8","DARK","PRODTRAD","1st",0.877390305808803,"PRODTRAD|DARK"
"9","DARK","TRAD","4th",0.0715522438776987,"TRAD|DARK"
"10","DARK","TRAD","3rd",0.254059428797648,"TRAD|DARK"
"11","DARK","TRAD","2nd",0.450744816146871,"TRAD|DARK"
"12","DARK","TRAD","1st",0.223643511177783,"TRAD|DARK"
"13","GOLD","PROD","4th",0.333623494462756,"PROD|GOLD"
"14","GOLD","PROD","3rd",0.424632899054412,"PROD|GOLD"
"15","GOLD","PROD","2nd",0.199283523475095,"PROD|GOLD"
"16","GOLD","PROD","1st",0.0424600830077377,"PROD|GOLD"
"17","GOLD","PRODTRAD","4th",0.2700440810217,"PRODTRAD|GOLD"
"18","GOLD","PRODTRAD","3rd",0.428544684716538,"PRODTRAD|GOLD"
"19","GOLD","PRODTRAD","2nd",0.244798653430608,"PRODTRAD|GOLD"
"20","GOLD","PRODTRAD","1st",0.0566125808311533,"PRODTRAD|GOLD"
"21","GOLD","TRAD","4th",0.741635147064013,"TRAD|GOLD"
"22","GOLD","TRAD","3rd",0.205688307457376,"TRAD|GOLD"
"23","GOLD","TRAD","2nd",0.045001903564267,"TRAD|GOLD"
"24","GOLD","TRAD","1st",0.00767464191434386,"TRAD|GOLD"
"25","LIGHT","PROD","4th",0.585359174061278,"PROD|LIGHT"
"26","LIGHT","PROD","3rd",0.313061519235962,"PROD|LIGHT"
"27","LIGHT","PROD","2nd",0.0860970564272022,"PROD|LIGHT"
"28","LIGHT","PROD","1st",0.0154822502755581,"PROD|LIGHT"
"29","LIGHT","PRODTRAD","4th",0.508070469723015,"PRODTRAD|LIGHT"
"30","LIGHT","PRODTRAD","3rd",0.358071644205539,"PRODTRAD|LIGHT"
"31","LIGHT","PRODTRAD","2nd",0.112815085149822,"PRODTRAD|LIGHT"
"32","LIGHT","PRODTRAD","1st",0.0210428009216237,"PRODTRAD|LIGHT"
"33","LIGHT","TRAD","4th",0.120533012916189,"TRAD|LIGHT"
"34","LIGHT","TRAD","3rd",0.341438888896869,"TRAD|LIGHT"
"35","LIGHT","TRAD","2nd",0.39862450740508,"TRAD|LIGHT"
"36","LIGHT","TRAD","1st",0.139403590781861,"TRAD|LIGHT"
"37","STRIP","PROD","4th",0.0895067601818544,"PROD|STRIP"
"38","STRIP","PROD","3rd",0.291639284201664,"PROD|STRIP"
"39","STRIP","PROD","2nd",0.434627704156492,"PROD|STRIP"
"40","STRIP","PROD","1st",0.18422625145999,"PROD|STRIP"
"41","STRIP","PRODTRAD","4th",0.147783201539485,"PRODTRAD|STRIP"
"42","STRIP","PRODTRAD","3rd",0.372927697060546,"PRODTRAD|STRIP"
"43","STRIP","PRODTRAD","2nd",0.365796329690148,"PRODTRAD|STRIP"
"44","STRIP","PRODTRAD","1st",0.113492771709822,"PRODTRAD|STRIP"
"45","STRIP","TRAD","4th",0.0205856773665401,"TRAD|STRIP"
"46","STRIP","TRAD","3rd",0.0957730203580136,"TRAD|STRIP"
"47","STRIP","TRAD","2nd",0.369966097336578,"TRAD|STRIP"
"48","STRIP","TRAD","1st",0.513675204938868,"TRAD|STRIP"
