"","Shp","SCseg","Predicted","Probability","CombCol"
"1","A","PROD","4th",0.145758455677482,"PROD|A"
"2","A","PROD","3rd",0.559518334648381,"PROD|A"
"3","A","PROD","2nd",0.240984501689298,"PROD|A"
"4","A","PROD","1st",0.053738707984839,"PROD|A"
"5","A","PRODTRAD","4th",0.0181727448994984,"PRODTRAD|A"
"6","A","PRODTRAD","3rd",0.187914235051707,"PRODTRAD|A"
"7","A","PRODTRAD","2nd",0.450282282766503,"PRODTRAD|A"
"8","A","PRODTRAD","1st",0.343630737282292,"PRODTRAD|A"
"9","A","TRAD","4th",0.368211136804052,"TRAD|A"
"10","A","TRAD","3rd",0.522781244487392,"TRAD|A"
"11","A","TRAD","2nd",0.0926529112818292,"TRAD|A"
"12","A","TRAD","1st",0.0163547074267266,"TRAD|A"
"13","B","PROD","4th",0.00360992517264801,"PROD|B"
"14","B","PROD","3rd",0.0447444998781539,"PROD|B"
"15","B","PROD","2nd",0.223783323887272,"PROD|B"
"16","B","PROD","1st",0.727862251061926,"PROD|B"
"17","B","PRODTRAD","4th",0.00517013450739131,"PRODTRAD|B"
"18","B","PRODTRAD","3rd",0.0627645493829269,"PRODTRAD|B"
"19","B","PRODTRAD","2nd",0.281159160438782,"PRODTRAD|B"
"20","B","PRODTRAD","1st",0.6509061556709,"PRODTRAD|B"
"21","B","TRAD","4th",0.0169913272925033,"TRAD|B"
"22","B","TRAD","3rd",0.178125594980666,"TRAD|B"
"23","B","TRAD","2nd",0.445658997293085,"TRAD|B"
"24","B","TRAD","1st",0.359224080433746,"TRAD|B"
"25","C","PROD","4th",0.0295779107459695,"PROD|C"
"26","C","PROD","3rd",0.26987876711005,"PROD|C"
"27","C","PROD","2nd",0.459312803978275,"PROD|C"
"28","C","PROD","1st",0.241230518165706,"PROD|C"
"29","C","PRODTRAD","4th",0.126886380650378,"PRODTRAD|C"
"30","C","PRODTRAD","3rd",0.543966093628144,"PRODTRAD|C"
"31","C","PRODTRAD","2nd",0.266637240563691,"PRODTRAD|C"
"32","C","PRODTRAD","1st",0.0625102851577872,"PRODTRAD|C"
"33","C","TRAD","4th",0.0104300071450838,"TRAD|C"
"34","C","TRAD","3rd",0.118352495814065,"TRAD|C"
"35","C","TRAD","2nd",0.392221325993475,"TRAD|C"
"36","C","TRAD","1st",0.478996171047376,"TRAD|C"
"37","D","PROD","4th",0.858799983110132,"PROD|D"
"38","D","PROD","3rd",0.129612542756604,"PROD|D"
"39","D","PROD","2nd",0.00999680238875478,"PROD|D"
"40","D","PROD","1st",0.00159067174450911,"PROD|D"
"41","D","PRODTRAD","4th",0.999889686777193,"PRODTRAD|D"
"42","D","PRODTRAD","3rd",0.00010244675294413,"PRODTRAD|D"
"43","D","PRODTRAD","2nd",6.79740455944433e-06,"PRODTRAD|D"
"44","D","PRODTRAD","1st",1.06906530339401e-06,"PRODTRAD|D"
"45","D","TRAD","4th",0.526126544088662,"TRAD|D"
"46","D","TRAD","3rd",0.413527526002718,"TRAD|D"
"47","D","TRAD","2nd",0.0516937124989753,"TRAD|D"
"48","D","TRAD","1st",0.00865221740964417,"TRAD|D"
